fn,firstSentence,confidence
Indobit-A-NYT2011 - Oct 1 - Dec 31-134.txt, 1964
Indobit-A-NYT1999 - July 1 - Sep 30-321.txt," whose deep, bluesy voice and muscular zydeco band made him the top draw in the zydeco dance halls of the Louisiana bayou"
Indobit-A-NYT1982_1-500-88.txt, former professional-services supervisor for Family Service of Yonkers
Indobit-A-NYT1993 - Nov 1 - Dec 31-275.txt, noted for his vivid portrayal of Lebanon's civil war
Indobit-A-NYT1987 - Nov 1 - Dec 31-98.txt," a founding partner of Sutherland, Asbill & Brennan, an Atlanta and Washington law firm"
Indobit-A-NYT1996_501-1000-324.txt," a Dixieland jazz clarinetist and saxophone player who created the ""Johnson Rag"
Indobit-A-NYT1988_1001-1500-58.txt,
Indobit-A-NYT1989 - July 1 - Aug 31-178.txt, an American archeologist who believed he had identified the site of the prison where Socrates was executed in 399 B.C.
Indobit-A-NYT1982_1501-1630-72.txt," Calif. Roy Webb, who helped found the American Society of Composers, Authors and Publishers and wrote several musical scores for movies"
Indobit-A-NYT1990_January to June_1-500-353.txt, a chemical researcher who had an important role in the development of silicon products
Indobit-A-NYT1984_501-1000-243.txt, Assistant Secretary of Housing and Urban Development
Indobit-A-NYT1995 - May 1 - June 30-277.txt, a Michigan businessman and philanthropist
Indobit-A-NYT2005 - Oct 1 - Dec 31-107.txt," retired chairwoman of Bonne Bell Cosmetics, which her father named for her when she was 4"
Indobit-A-NYT1986_501-1000-317.txt," a director at the National Theater of the Deaf in Chester, Conn."
Indobit-A-NYT1991 - July 1 - July 31-39.txt," a Brink's guard who took $1.85 million from an armored truck in 1980 and went on a nationwide spending spree, was found dead Monday, possibly from a drug overdose"
Indobit-A-NYT1995 - July 1 - Aug 31-2.txt, a Jewish guerrilla commander in Palestine who later served as an Israeli Government Minister
Indobit-A-NYT1981 - Oct 1 - Dec 31-323.txt, a writer of literary nonfiction
Indobit-A-NYT1994_501-1000-212.txt, a philanthropist who helped youth organizations and founded a college at Pepperdine University
Indobit-A-NYT1998_1001-1500-250.txt, one of jazz's great singers and a composer and arranger whose groups were virtual schools for generations of jazz musicians
Indobit-A-NYT1999 - July 1 - Sep 30-141.txt, Russia's main envoy to the Middle East
Indobit-A-NYT1998_1-500-375.txt, a retired University of Michigan psychology professor who was an expert on organizational psychology
Indobit-A-NYT1990_July to December_1-500-418.txt, a retired professor of English at Yale University
Indobit-A-NYT1983 - Jan 1 - March 31-70.txt, a writer on boating
Indobit-A-NYT1999 - April 1 - June 30-323.txt, a microbiologist and a leading expert in African swine fever
Indobit-A-NYT1990_July to December_1001-1500-212.txt, professor of economics emeritus at Dartmouth College
Indobit-A-NYT1991 - Nov 1 - Dec 31-77.txt, a retired White House guard who was wounded defending President Harry S. Truman in a 1950 assassination attempt
Indobit-A-NYT2002_501-1000-206.txt, a poultry expert whose advances in artificial insemination helped keep the fat and happy farm-raised turkey from going the way of the dodo
Indobit-A-NYT2000_1-500-368.txt," whose catering shop, Word of Mouth, was among the first to produce luxury takeout food on the Upper East Side of Manhattan"
Indobit-A-NYT2005 - Oct 1 - Dec 31-142.txt, who won a Nobel Prize in Chemistry for describing how electrons hop between molecules during chemical reactions
Indobit-A-NYT2005 - July 1 - Sep 30-36.txt," a tenor saxophonist who worked with Mary Lou Williams, Charles Mingus, Tito Puente, Miles Davis, Anthony Braxton and Abdullah Ibrahim, among other jazz musicians"
Indobit-A-NYT2002_501-1000-438.txt, lead singer of the rock band Drowning Pool
Indobit-A-NYT1985 - July 1 - Sep 30-45.txt," an Episcopal churchwoman who advocated the ordination of women to the priesthood, was held Monday, July 1"
Indobit-A-NYT2005 - Oct 1 - Dec 31-38.txt, a writer who helped found the group that became the Writers Guild of America and wrote for television and the movies
Indobit-A-NYT1981 - April 1 - June 30-300.txt, who took part in the storming of the Winter Palace in the 1917 Bolshevik Revolution and went on to become commander of the Soviet Baltic Fl eet
Indobit-A-NYT1987 - April 1 - June 30-305.txt," managing partner of the Garden City, L.I., law firm of Shaw, Goldman, Licitra, Levine & Weinberg"
Indobit-A-NYT1990_July to December_1-500-490.txt, who in the late 1960's was one of the first poll takers to predict election results by surveying voters leaving polling places
Indobit-A-NYT1986_1001-1500-26.txt, a nephew of President Theodore Roosevelt and Speaker of the State House of Representatives in the 1950's
Indobit-A-NYT1992_1001-1500-6.txt, a Justice of the Pennsylvania Supreme Court
Indobit-A-NYT1995 - July 1 - Aug 31-121.txt, the mother of Thailand's King
Indobit-A-NYT1990_January to June_1-500-284.txt, a professor of literature at Bard College and an authority on Dante
Indobit-A-NYT1993 - Nov 1 - Dec 31-268.txt, the voice most associated with the Philadelphia Eagles for more than 30 years
Indobit-A-NYT1981 - July 1 - Sep 30-1.txt," a former partner of Cowen & Company, a brokerage firm"
Indobit-A-NYT2004_1001-1263-191.txt," a writer who dedicated her life to describing Yosemite National Park's towering granite faces and deep valleys, writing nearly two dozen books about the park"
Indobit-A-NYT1995 - March 1 - April 30-57.txt, who invented the Galil assault rifle and helped create the Uzi submachine gun
Indobit-A-NYT1996_1-500-212.txt, Yoshihiro Tokugawa
Indobit-A-NYT1985 - Oct 1 - Dec 31-378.txt, an authority on children's libraries and a professor emeritus at the Columbia University School of Library Service
Indobit-A-NYT1983 - Jan 1 - March 31-305.txt, an outstanding figure in Renaissance art historical studies
Indobit-A-NYT2017-Jan 1 - March 31-80.txt,
Indobit-A-NYT2009 - July 1 - Sep 30-242.txt,
Indobit-A-NYT1982_501-1000-226.txt, a pitching star in the Negro baseball leagues from 1919 through 1939
Indobit-A-NYT2001 - July 1 - Sep 30-262.txt," a screenwriter whose 18 feature-film credits included ""Petulia"" and the Oscar-nominated movie ""The Stunt Man"
Indobit-A-NYT1981 - July 1 - Sep 30-229.txt, a professor of political science at Brandeis University and an authority on Vietnam and Southeast Asia
Indobit-A-NYT2013-Oct 1 - Dec 31-260.txt," at 1,200 feet"
Indobit-A-NYT1985 - Oct 1 - Dec 31-3.txt," a composer, writer and mystic"
Indobit-A-NYT2001 - April 1 - June 30-148.txt, a perennial All-Star outfielder whose batting stroke and powerful arm helped the New York Giants capture three pennants in the 1930's
Indobit-A-NYT1987 - July 1 - Aug 31-79.txt," publishers of books on diving, were killed Tuesday in the crash of a light plane near Lincolnville"
Indobit-A-NYT1984_1001-1500-344.txt, the first woman to serve on the Maryland Court of Appeals
Indobit-A-NYT1986_1001-1500-98.txt, a Queens Democrat who served in the Legislature since 1976
Indobit-A-NYT1986_501-1000-464.txt,
Indobit-A-NYT1996_1-500-354.txt, a World War II fighter pilot who won three Distinguished Flying Cross medals and graduated from the United States Naval Academy at Annapolis without a blemish on his record
Indobit-A-NYT1984_1001-1500-147.txt," a director of such pioneering television shows as ''The Honeymooners,'' ''Your Show of Shows,'' ''I've Got a Secret'' and ''What's My Line"
Indobit-A-NYT1982_501-1000-367.txt, United Press International's manager for West Asia
Indobit-A-NYT2004_501-1000-80.txt, a composer and musical theorist
Indobit-A-NYT1993 - Jan 1 - Feb 28-389.txt, captain of the England team that won soccer's World Cup in 1966
Indobit-A-NYT1988_1501-1774-120.txt, a former Governor of Hong Kong
Indobit-A-NYT1993 - July 1 - Aug 31-10.txt, a self-taught painter whose folksy yet complex style won him national acclaim
Indobit-A-NYT1989 - July 1 - Aug 31-259.txt, a prominent figure on the American horse racing scene for almost 30 years
Indobit-A-NYT1986_1001-1500-150.txt, a retired vice admiral who was accused of commanding a torture and execution center in the campaign against leftists in the 1970's
Indobit-A-NYT2008_1001-1185-103.txt," a British guitarist whose musical fusions, technique and tuning shaped generations of musicians"
Indobit-A-NYT2005 - Jan 1 - March 31-182.txt, who pitched for two World Series championship teams during his 14-year career in the major leagues
Indobit-A-NYT1985 - Jan 1 - March 31-281.txt, a scholar of Hebrew and director of the Soviet bloc's only rabbinical seminary
Indobit-A-NYT2009 - July 1 - Sep 30-62.txt," Calif. Brenda Joyce, who played Jane with two movie Tarzans"
Indobit-A-NYT1995 - July 1 - Aug 31-32.txt, an X-ray researcher and former chairman of the physics department at Cornell University
Indobit-A-NYT2004_1001-1263-72.txt, the former England and Liverpool captain who was one of the greatest English soccer players of his generation
Indobit-A-NYT1996_1-500-404.txt, the fudge king of Mackinac Island in Michigan
Indobit-A-NYT1989 - Jan 1 - Feb 28-38.txt, a biblical scholar and former professor of Old Testament literature at Princeton Theological Seminary
Indobit-A-NYT1987 - April 1 - June 30-4.txt," a partner of KMS Corporate Brokers, a Wall Street bond brokerage concern"
Indobit-A-NYT2001 - Jan 1 - March 31-81.txt, a princess of Russia long active in Russian-American emigre circles and charitable organizations
Indobit-A-NYT1981 - Oct 1 - Dec 31-241.txt," Fla., Nov. 17 Raymond F. Granlund, a Texas consultant sentenced to three years in Federal prison for his role in a Florida Power Corporation oil scandal"
Indobit-A-NYT1986_1001-1500-20.txt, the director of such Walt Disney movies as ''Mary Poppins'' and ''Old Yeller
Indobit-A-NYT2015- Jan 1 - March 31-127.txt, Rose Marie McCoy
Indobit-A-NYT1985 - April 1 - June 30-260.txt, who was graduated from Barnard College last month
Indobit-A-NYT1997 - July 1 - Sep 30-407.txt, a former Angolan Foreign Minister who led important negotiations for his country's Government
Indobit-A-NYT2010_1-500-167.txt, a Soviet-era diva who sang at the Bolshoi Theater for decades
Indobit-A-NYT1983 - Oct 1 - Dec 31-100.txt," Third BasemanOn '50 Phils' Pennant Winner CINCINNATI, Oct. 19 (UPI) - Willie (Puddin' Head) Jones, the third baseman for the Philadelphia Phillies' Whiz Kid team that won the National League pennant in 1950"
Indobit-A-NYT1993 - July 1 - Aug 31-60.txt," who ran her own executive recruiting firm, Magdol & McCone"
Indobit-A-NYT1983 - Oct 1 - Dec 31-48.txt,
Indobit-A-NYT1986_1-500-299.txt, a former Commissioner of Public Welfare for Westchester County
Indobit-A-NYT1996_1501-1947-234.txt, the almost anonymous architectural hand behind many of the most imposing apartment towers in New York City
Indobit-A-NYT2009 - Jan 1 - March 31-213.txt, who broke into the male-dominated sport of bullfighting at age 13 and was one of the first women to become famous as a matador
Indobit-A-NYT2004_1-500-289.txt," a pioneer in the field of computerized typesetting, which transformed the publishing industry"
Indobit-A-NYT1994_1501-2000-354.txt, the general secretary-treasurer of the Laborers' International Union of North America
Indobit-A-NYT1989 - July 1 - Aug 31-91.txt, a tenor who sang leading roles for nearly two decades with the New York City Opera
Indobit-A-NYT1981 - Jan 1 - March 31-370.txt," a former interior decorator who worked under her maiden name, Helen Breen"
Indobit-A-NYT1981 - April 1 - June 30-377.txt," senior surgical attendant at St. Mary's Hospital in Passaic, N.J."
Indobit-A-NYT1984_501-1000-476.txt, the oldest woman in New York's state prisons
Indobit-A-NYT1987 - Sep 1 - Oct 31-32.txt, a retired brigadier general who headed a War Department investigation of the military intelligence role in the Japanese attack on Pearl Harbor
Indobit-A-NYT1989 - July 1 - Aug 31-95.txt," a founding partner of the Manhattan law firm of Squadron, Ellenoff, Plesent & Lehrer"
Indobit-A-NYT2000_1501-1565-32.txt," co-creator of the quirky but durable cartoon tutorial ""Schoolhouse Rock"
Indobit-A-NYT1989 - March 1 - April 30-383.txt, nature-film photographers who won six Academy Awards while working for Walt Disney
Indobit-A-NYT2016_1-500-8.txt," a buoyantly jazzy singer who became a million-selling, Grammy Award-winning pop hitmaker with her 1975 debut album and went on to even greater popularity when she followed the example of her father, Nat King Cole, in interpreting pre-rock pop standards"
