c,p,r,rev,y
Amstar,8.3,107.0,325.9,1962
J.P. Stevens,8.5,108.0,321.1,1962
Weyerhaeuser,49.2,109.0,316.7,1962
Otis Elevator,13.8,110.0,316.6,1962
Cudahy,2.7,111.0,308.1,1962
Sylvania Electric Products,13.8,112.0,307.4,1962
NCR,15.4,113.0,301.2,1962
Avco,0.8,114.0,299.3,1962
Sunray DX Oil,39.5,115.0,298.4,1962
Liggett Group,26.7,116.0,296.1,1962
Electric Autolite,10.1,117.0,296.0,1962
GenCorp,9.7,118.0,295.7,1962
Bestfoods,20.7,119.0,290.2,1962
Beatrice,5.6,120.0,287.4,1962
TRW,11.3,121.0,286.2,1962
Colgate-Palmolive,14.0,122.0,285.6,1962
Manville,23.5,123.0,284.7,1962
Northrop Grumman,11.7,124.0,283.4,1962
3M,34.7,125.0,281.9,1962
Aeroquip-Vickers,36.0,126.0,281.5,1962
Whirlpool,14.1,127.0,280.4,1962
Quaker Oats,10.1,128.0,276.4,1962
Rockwell-Standard,17.3,129.0,271.9,1962
Martin Marietta,13.3,130.0,271.9,1962
Kaisertech,28.6,131.0,268.1,1962
FMC,14.9,132.0,264.6,1962
Furniture Brands Intl.,10.4,133.0,262.4,1962
"Libby, McNeill & Libby",5.4,134.0,261.9,1962
National Supply,11.4,135.0,259.8,1962
American Viscose,24.7,136.0,259.4,1962
USG,40.4,137.0,258.7,1962
CF&I Steel,10.9,138.0,257.5,1962
Marathon Oil,41.3,139.0,257.2,1962
St. Regis,19.0,140.0,257.1,1962
Allegheny International,15.0,141.0,255.2,1962
Rath Packing,2.6,142.0,254.0,1962
Coca-Cola,27.5,143.0,252.9,1962
Armstrong Holdings,14.5,144.0,249.4,1962
Wheeling Pittsburgh,17.3,145.0,246.7,1962
Scott Paper,21.3,146.0,246.7,1962
Ashland,10.1,147.0,245.9,1962
Honeywell,19.3,148.0,244.5,1962
Richfield Oil,29.6,149.0,244.4,1962
Continental Baking,7.7,150.0,244.0,1962
Revere Copper & Brass,11.3,151.0,242.7,1962
Crucible Steel,13.2,152.0,237.7,1962
A.O. Smith,6.0,153.0,237.1,1962
Wyeth,20.5,154.0,234.5,1962
H.J. Heinz,8.8,155.0,234.2,1962
Del Monte Foods,8.9,156.0,233.8,1962
Babcock & Wilcox,13.5,157.0,233.3,1962
Skelly Oil,32.2,158.0,231.6,1962
J.E. Seagram,22.3,159.0,228.9,1962
Koppers,10.4,160.0,228.5,1962
M. Lowenstein,10.8,161.0,228.2,1962
Motorola,8.5,162.0,226.7,1962
Hercules,19.0,163.0,226.7,1962
Kimberly-Clark,20.3,164.0,224.0,1962
Fruehauf,8.7,165.0,223.5,1962
Johnson & Johnson,11.3,166.0,222.9,1962
Archer Daniels Midland,5.8,167.0,221.0,1962
Oscar Mayer,4.9,168.0,220.2,1962
Eaton,13.3,169.0,218.1,1962
Unisys,12.2,170.0,217.8,1962
Glidden,8.4,171.0,217.0,1962
Container Corp. of America,15.7,172.0,215.6,1962
Grumman,9.8,173.0,213.4,1962
Arden Farms,2.1,174.0,212.3,1962
Hearst Consolidated Publications,2.6,175.0,207.6,1962
Brink's,3.1,176.0,205.8,1962
Bell Intercontinental,5.9,177.0,204.4,1962
Admiral,2.4,178.0,202.4,1962
Anheuser-Busch,8.0,179.0,201.7,1962
Quantum Chemical,15.5,180.0,201.6,1962
Pet,9.2,181.0,200.2,1962
Timken,22.1,182.0,196.1,1962
Mack Trucks,7.8,183.0,194.3,1962
Cannon Mills,10.0,184.0,193.7,1962
ACF Industries,6.9,185.0,190.8,1962
Carrier,8.5,186.0,190.0,1962
Textron,5.5,187.0,189.2,1962
Dana,15.3,188.0,186.6,1962
Raytheon,4.5,189.0,182.3,1962
Kellogg,13.8,190.0,182.1,1962
White Motor,6.1,191.0,179.9,1962
Curtis Publishing,4.1,192.0,179.8,1962
Celanese,11.2,193.0,177.5,1962
Gillette,29.0,194.0,176.9,1962
Pittsburgh Steel,7.5,195.0,176.7,1962
Westvaco,15.7,196.0,176.2,1962
Westinghouse Air Brake,12.4,197.0,172.5,1962
Sharon Steel,8.0,198.0,171.2,1962
Consolidation Coal,14.0,199.0,168.6,1962
Genesco,5.3,200.0,167.9,1962
Walter Industries,2.4,201.0,167.4,1962
Sterling Drug,15.7,202.0,166.9,1962
Wesson Oil & Snowdrift,4.7,203.0,166.7,1962
American-Marietta,11.1,204.0,165.3,1962
Dresser Industries,10.4,205.0,164.8,1962
Kaiser Industries,5.1,206.0,164.0,1962
Pfizer,15.3,207.0,163.8,1962
Cone Mills,4.8,208.0,163.6,1962
Grinnell,8.3,209.0,163.2,1962
Rohm & Haas,17.7,210.0,161.6,1962
Owens Corning,10.9,211.0,161.3,1962
Rheem Manufacturing,5.2,212.0,160.6,1962
Norton,N.A.,213.0,160.5,1962
Baldwin-Lima-Hamilton,1.8,214.0,160.3,1962
Gair (Robert),9.3,215.0,160.2,1962
Brown Shoe,6.5,216.0,159.5,1962
Merck,15.7,217.0,157.9,1962
Schenley Industries,6.1,218.0,157.8,1962
Corning,18.6,219.0,157.7,1962
Altria Group,11.5,220.0,157.0,1962
Simmons,6.6,221.0,156.3,1962
McDonnell Douglas,4.6,222.0,154.6,1962
Fairchild Engine & Airplane,4.3,223.0,154.4,1962
Dart Industries,4.1,224.0,153.5,1962
Zenith Electronics,8.0,225.0,152.9,1962
Hershey Foods,10.6,226.0,151.6,1962
Staley Continental,5.2,227.0,151.5,1962
Eastern Gas & Fuel Associates,5.2,228.0,151.1,1962
Champion International,7.5,229.0,150.6,1962
Mead,10.6,230.0,150.5,1962
BOC,11.6,231.0,149.2,1962
Bridgeport Brass,5.5,232.0,148.6,1962
National Gypsum,15.8,233.0,148.2,1962
Abex,6.4,234.0,147.1,1962
Chance Vought,4.8,235.0,147.1,1962
Scovill,5.5,236.0,146.9,1962
Continental Motors,2.5,237.0,145.5,1962
Ingersoll-Rand,27.5,238.0,145.4,1962
Anaconda Wire & Cable,7.0,239.0,145.2,1962
AMF,4.8,240.0,145.0,1962
McLouth Steel,8.1,241.0,145.0,1962
National Sugar Refining,1.9,242.0,144.9,1962
Central Soya,2.6,243.0,144.8,1962
Stauffer Chemical,12.3,244.0,143.6,1962
Endicott Johnson,2.8,245.0,143.1,1962
ITT Rayonier,15.9,246.0,142.5,1962
McGraw-Edison,9.5,247.0,142.5,1962
Budd,12.2,248.0,141.5,1962
Eli Lilly,16.3,249.0,141.3,1962
Studebaker-Worthington,7.2,250.0,140.9,1962
Kelsey-Hayes,7.4,251.0,140.8,1962
Campbell Taggart,7.9,252.0,140.6,1962
American Bakeries,5.4,253.0,139.0,1962
Stokely-Van Camp,3.8,254.0,136.5,1962
Kaiser Steel,5.7,255.0,136.1,1962
Combustion Engineering,5.6,256.0,135.8,1962
Certainteed,8.1,257.0,135.4,1962
Champion Papers,10.2,258.0,135.2,1962
Marathon,9.2,259.0,135.1,1962
Pabst Brewing,2.4,260.0,134.3,1962
Cletrac,4.8,261.0,133.6,1962
General Precision Equipment,2.5,262.0,133.3,1962
Clark Equipment,9.5,263.0,131.3,1962
Lorillard,6.6,264.0,129.8,1962
Link-Belt,7.6,265.0,129.5,1962
Tecumseh Products,6.3,266.0,129.5,1962
GK Technologies,6.5,267.0,129.4,1962
Diamond International,9.1,268.0,128.8,1962
General Host,2.1,269.0,128.7,1962
WestPoint Stevens,5.1,270.0,128.6,1962
Keebler,3.6,271.0,127.1,1962
"Parke, Davis",14.3,272.0,123.1,1962
Union Camp,14.3,273.0,123.0,1962
Newport News Shipbuilding,4.8,274.0,122.5,1962
Bemis,2.1,275.0,121.8,1962
St. Joseph Lead,12.7,276.0,121.5,1962
GAF,4.2,277.0,121.2,1962
Alco Products,4.3,278.0,120.7,1962
Sunshine Biscuits,6.1,279.0,119.2,1962
Granite City Steel,12.6,280.0,116.3,1962
Eagle-Picher Industries,5.0,281.0,114.5,1962
Cleveland-Cliffs,13.4,282.0,114.5,1962
Stewart-Warner,6.2,283.0,113.8,1962
Anchor Hocking,6.1,284.0,113.8,1962
Crown Holdings,1.8,285.0,113.0,1962
"Fairbanks, Morse",2.7,286.0,111.9,1962
U.S. Pipe & Foundry,11.3,287.0,111.3,1962
Maxus Energy,8.4,288.0,110.3,1962
Interlake,6.2,289.0,109.9,1962
Blaw-Knox,2.4,290.0,109.2,1962
Warren Petroleum,10.1,291.0,109.0,1962
Collins Radio,3.5,292.0,108.4,1962
Minute Maid,3.1,293.0,106.5,1962
H.K. Porter,6.4,294.0,106.1,1962
Long-Bell Lumber Co.,9.7,295.0,105.7,1962
Chemetron,5.6,296.0,105.5,1962
Yale & Towne Manufacturing,4.7,297.0,104.9,1962
Cincinnati Milacron,4.4,298.0,104.7,1962
Best Foods,4.9,299.0,104.1,1962
Garrett,3.7,300.0,103.4,1962
Colorado Milling & Elevator,1.1,301.0,102.8,1962
Detroit Steel,6.3,302.0,101.8,1962
Amerada Hess,25.4,303.0,101.8,1962
Keystone Consolidated Industries,9.5,304.0,101.4,1962
American Chain & Cable,6.1,305.0,101.1,1962
Flintkote,4.9,306.0,101.0,1962
Inmont,4.7,307.0,100.5,1962
Interstate Brands,3.4,308.0,99.7,1962
Interlake Iron,8.5,309.0,98.8,1962
Plymouth Oil,6.9,310.0,98.1,1962
Allied Mills,2.8,311.0,97.8,1962
Kendall,3.8,312.0,97.6,1962
Ward Foods,1.5,313.0,97.0,1962
Imcera Group,6.3,314.0,96.5,1962
Automatic Canteen,1.9,315.0,95.8,1962
National Container,8.4,316.0,95.3,1962
Case,0.9,317.0,94.8,1962
Pocahontas Fuel,4.8,318.0,94.8,1962
Fairmont Foods,1.0,319.0,94.5,1962
Hooker Chemical,10.6,320.0,94.2,1962
Texasgulf,32.4,321.0,93.6,1962
Maytag,6.3,322.0,93.1,1962
Stanley Works,5.6,323.0,92.5,1962
Ex-Cell-O,9.5,324.0,92.5,1962
Wagner Electric,4.7,325.0,92.3,1962
Georgia-Pacific,6.2,326.0,92.0,1962
Dan River,3.8,327.0,91.7,1962
Abbott Laboratories,9.7,328.0,91.7,1962
US Pharmaceuticals,16.0,329.0,91.7,1962
Lone Star Industries,14.8,330.0,91.5,1962
Squibb,3.7,331.0,91.1,1962
ESB,2.6,332.0,90.8,1962
Spencer Kellogg & Sons,0.3,333.0,90.3,1962
Sunbeam/Oster,6.9,334.0,90.1,1962
Foster Wheeler,1.3,335.0,90.1,1962
Warner-Lambert,8.1,336.0,90.0,1962
Carborundum,5.2,337.0,89.8,1962
Fibreboard,6.5,338.0,89.8,1962
PepsiCo,9.5,339.0,89.0,1962
Emerson Radio & Phonograph,2.5,340.0,87.4,1962
Cluett Peabody,3.8,341.0,87.4,1962
Thomas J. Lipton,3.5,342.0,87.2,1962
Gerber Products,5.5,343.0,86.7,1962
Riegel Textile,1.6,344.0,86.3,1962
Paccar,3.6,345.0,86.2,1962
Wm. Wrigley Jr.,11.6,346.0,86.1,1962
Outboard Marine,6.4,347.0,85.9,1962
Hines (Edward) Lumber,5.2,348.0,85.6,1962
Norton Simon,2.4,349.0,85.6,1962
Federal-Mogul,7.8,350.0,85.0,1962
Royal McBee,3.6,351.0,84.7,1962
Pepperell Manufacturing,1.9,352.0,84.7,1962
Houdaille Industries,2.8,353.0,84.6,1962
Beaunit,3.9,354.0,84.0,1962
Industrial Rayon,10.7,355.0,83.7,1962
National Automotive Fibers,2.2,356.0,83.5,1962
Motor Products,-1.7,357.0,83.5,1962
Liebmann Breweries,N.A.,358.0,83.0,1962
Rockwell Manufacturing,6.8,359.0,82.9,1962
Raybestos-Manhattan,3.7,360.0,82.9,1962
Bigelow-Sanford,2.4,361.0,82.7,1962
York International,2.4,362.0,82.7,1962
Rohr,3.3,363.0,82.4,1962
Olivetti Underwood,1.5,364.0,82.4,1962
Ruberoid,4.5,365.0,82.1,1962
Joy Technologies,5.7,366.0,81.9,1962
U.S. Industries,3.6,367.0,81.3,1962
City Products,4.1,368.0,81.3,1962
Cummins,4.5,369.0,81.0,1962
Coltec Industries,1.9,370.0,81.0,1962
Amsted Industries,3.8,371.0,80.7,1962
Midland-Ross,4.4,372.0,80.6,1962
Harbison-Walker Refractories,7.7,373.0,80.5,1962
Hazel-Atlas Glass,3.4,374.0,79.9,1962
Island Creek Coal,6.2,375.0,79.4,1962
Lukens Steel,1.7,376.0,79.3,1962
Superior Oil,3.4,377.0,78.9,1962
Square D,8.4,378.0,78.7,1962
Handy & Harman,0.9,379.0,78.7,1962
Motor Wheel,3.0,380.0,78.6,1962
Copperweld Steel,2.4,381.0,78.5,1962
LTV,3.1,382.0,78.2,1962
Virginia-Carolina Chemical,2.4,383.0,77.5,1962
Falstaff Brewing,4.4,384.0,77.0,1962
Beech Aircraft,3.6,385.0,77.0,1962
"American Zinc, Lead & Smelting",2.6,386.0,76.7,1962
McGraw-Hill,6.3,387.0,76.7,1962
Bulova Watch,3.0,388.0,76.4,1962
Kroehler Manufacturing,4.1,389.0,76.2,1962
Bristol-Myers Squibb,4.9,390.0,75.7,1962
Barium Steel,0.7,391.0,75.1,1962
Hartmarx,1.7,392.0,74.8,1962
Mansfield Tire & Rubber,1.8,393.0,74.6,1962
Cerro,14.0,394.0,74.1,1962
Daystrom,1.7,395.0,73.8,1962
American Bosch Arma,3.4,396.0,73.8,1962
Mohasco,1.7,397.0,73.7,1962
Joslyn Manufacturing & Supply,3.2,398.0,73.5,1962
AM International,6.7,399.0,73.4,1962
Minnesota & Ontario Paper,7.4,400.0,73.1,1962
I-T-E Imperial,1.8,401.0,73.0,1962
Murray Corp.,5.7,402.0,72.9,1962
Bibb Manufacturing,1.9,403.0,72.8,1962
Great Western Sugar,4.2,404.0,72.7,1962
Richardson-Vicks,6.5,405.0,72.7,1962
Minneapolis-Moline,0.7,406.0,72.3,1962
Clevite,4.9,407.0,71.9,1962
Bucyrus-Erie,6.5,408.0,71.7,1962
Lees (James) & Sons,3.4,409.0,71.3,1962
American Forest Products,2.6,410.0,71.3,1962
American Enka,7.1,411.0,71.3,1962
Celotex,5.1,412.0,71.1,1962
American Optical,2.6,413.0,71.0,1962
Crowell-Collier Publishing,0.8,414.0,70.9,1962
Lehigh Portland Cement,11.3,415.0,70.9,1962
National Can,1.0,416.0,70.9,1962
Times Mirror,3.2,417.0,70.7,1962
Ideal Basic Industries,13.8,418.0,70.0,1962
Dayco,2.3,419.0,69.2,1962
Remington Arms,7.9,420.0,69.0,1962
Armstrong Rubber,2.7,421.0,69.0,1962
Avon Products,6.0,422.0,68.9,1962
American Agricultural Chemical,4.4,423.0,68.7,1962
Carey (Philip) Manufacturing,2.6,424.0,68.0,1962
Pennwalt Corp,3.5,425.0,67.8,1962
Mueller Brass,2.5,426.0,67.7,1962
Arvin Industries,4.1,427.0,67.4,1962
Cuban Atlantic Sugar,3.1,428.0,67.3,1962
Tennessee Corp.,7.7,429.0,66.5,1962
Joy Global,1.5,430.0,66.3,1962
Berkshire Hathaway,0.3,431.0,65.5,1962
Savannah Sugar Refining,1.8,432.0,64.6,1962
Ekco Products,5.2,433.0,64.5,1962
Calumet & Hecia,3.6,434.0,64.4,1962
Ceco Industries,2.5,435.0,64.3,1962
International Silver,3.1,436.0,64.2,1962
Todd Shipyards,1.1,437.0,64.2,1962
Robertshaw Controls,3.8,438.0,64.0,1962
P.R. Mallory,2.2,439.0,63.9,1962
Solar Aircraft,2.1,440.0,63.9,1962
American Metal Products,4.3,441.0,63.5,1962
Chicago Pneumatic Tool,7.4,442.0,63.4,1962
Freeport Sulphur,12.4,443.0,63.3,1962
Lily-Tulip Cup,5.3,444.0,63.1,1962
Columbian Carbon,6.3,445.0,62.8,1962
Bliss (E.W.),2.1,446.0,62.8,1962
National Homes,2.1,447.0,62.3,1962
Suntide Refining,1.6,448.0,62.1,1962
Bird & Son,2.4,449.0,61.7,1962
Cutler-Hammer,5.6,450.0,61.6,1962
Publicker Industries,-1.8,451.0,61.5,1962
Canada Dry,3.5,452.0,61.4,1962
Consolidated Papers,5.6,453.0,61.2,1962
Climax Molybdenum,17.4,454.0,61.1,1962
Anderson-Prichard Oil,5.0,455.0,61.0,1962
Harshaw Chemical,2.5,456.0,60.9,1962
Butler Manufacturing,1.7,457.0,60.8,1962
Bates Manufacturing,2.1,458.0,60.7,1962
Standard Coil Products,-0.3,459.0,60.5,1962
Consolidated Coppermines,6.2,460.0,60.5,1962
Continental Foundry & Machine,2.9,461.0,60.4,1962
Atlas Powder,3.5,462.0,60.3,1962
Elgin National Watch,1.6,463.0,60.1,1962
Erwin Mills,0.7,464.0,59.9,1962
Mullins Manufacturing,1.7,465.0,59.8,1962
Congoleum,2.2,466.0,59.8,1962
Gould-National Batteries,2.6,467.0,59.7,1962
Tobin Packing,1.1,468.0,59.3,1962
Premcor,1.4,469.0,59.0,1962
Natl. Malleable & Steel Castings,2.4,470.0,59.0,1962
Crown Central,1.7,471.0,58.8,1962
Dole,1.4,472.0,58.8,1962
Glen Alden,0.2,473.0,58.7,1962
Servel,-4.0,474.0,58.6,1962
Stanley Home Products,3.1,475.0,58.5,1962
Alan Wood Steel,2.6,476.0,58.4,1962
Laclede Steel,4.0,477.0,58.2,1962
Briggs & Stratton,6.6,478.0,58.1,1962
Du Mont (Allen B.) Labs.,-3.7,479.0,57.8,1962
Visking,5.1,480.0,57.7,1962
Vertol Aircraft,1.6,481.0,57.7,1962
Bohn Aluminum & Brass,2.2,482.0,57.5,1962
Vanadium,5.4,483.0,57.3,1962
Sutherland Paper,3.5,484.0,57.3,1962
Blue Bell,1.8,485.0,57.1,1962
Graniteville Co.,1.3,486.0,56.8,1962
Commercial Solvents,3.5,487.0,56.6,1962
Pittsburgh Coke & Chemical,3.1,488.0,56.6,1962
General Refractories,6.0,489.0,56.5,1962
Oxford Paper,4.1,490.0,56.4,1962
Langendorf United Bakeries,1.3,491.0,56.4,1962
South Penn Oil,6.1,492.0,55.8,1962
Signal Oil Gas,9.6,493.0,55.7,1962
Champlin Oil & Refining,7.0,494.0,55.7,1962
Great Northern Paper,5.0,495.0,55.7,1962
Sheller Manufacturing,3.8,496.0,55.6,1962
Holly Sugar,2.2,497.0,55.5,1962
Consolidated Cigar,2.2,498.0,55.3,1962
Weatherhead,2.3,499.0,55.2,1962
Warren (S.D.),2.9,500.0,55.1,1962
General Motors,847.4,1.0,10796.4,1963
Exxon Mobil,808.5,2.0,7126.9,1963
Ford Motor,236.6,3.0,4647.0,1963
U.S. Steel,348.1,4.0,4228.9,1963
General Electric,213.8,5.0,4090.0,1963
Mobil,249.5,6.0,2750.3,1963
Chrysler,20.0,7.0,2676.3,1963
Esmark,14.0,8.0,2429.3,1963
AT&T Technologies,81.0,9.0,2372.7,1963
Gulf Oil,282.7,10.0,2339.7,1963
Bethlehem Steel,161.4,11.0,2326.7,1963
Texaco,302.3,12.0,2046.3,1963
Armour,14.7,13.0,2011.4,1963
Amoco,149.4,14.0,1890.2,1963
DuPont,383.4,15.0,1888.4,1963
Shell Oil,135.8,16.0,1635.4,1963
CBS,3.5,17.0,1525.4,1963
ChevronTexaco,267.9,18.0,1452.5,1963
Goodyear Tire & Rubber,62.5,19.0,1358.8,1963
Kraft,41.7,20.0,1352.9,1963
Union Carbide,146.2,21.0,1324.5,1963
Navistar International,49.6,22.0,1252.1,1963
Republic Steel,90.4,23.0,1244.2,1963
Sinclair Oil,95.9,24.0,1180.1,1963
RCA,40.0,25.0,1121.1,1963
Firestone Tire & Rubber,60.5,26.0,1115.2,1963
Douglas Aircraft,33.2,27.0,1073.5,1963
General Dynamics,31.9,28.0,1047.8,1963
Procter & Gamble,59.3,29.0,1038.3,1963
ConocoPhillips,95.2,30.0,1033.4,1963
Continental Group,43.1,31.0,1010.3,1963
Boeing,32.1,32.0,1006.4,1963
Citgo Petroleum,62.2,33.0,973.7,1963
International Paper,86.6,34.0,969.6,1963
United Technologies,37.1,35.0,952.9,1963
General Foods,39.0,36.0,931.1,1963
Rockwell Automation,28.8,37.0,914.0,1963
Uniroyal,31.9,38.0,901.3,1963
Borden Chemical,23.6,39.0,877.0,1963
Alcoa,89.6,40.0,864.4,1963
Sperry,47.4,41.0,815.8,1963
American Can,34.8,42.0,771.6,1963
ARMCO,65.6,43.0,761.8,1963
Eastman Kodak,94.2,44.0,761.7,1963
Anaconda,111.5,45.0,749.4,1963
Jones & Laughlin Steel,45.1,46.0,742.6,1963
Lockheed Martin,13.9,47.0,742.6,1963
Intl. Business Machines,68.8,48.0,734.3,1963
Sunoco,56.2,49.0,731.4,1963
Ryerson Tull,53.0,50.0,727.2,1963
Goodrich,43.8,51.0,724.2,1963
Caterpillar,55.4,52.0,685.9,1963
Youngstown Sheet & Tube,43.2,53.0,676.3,1963
Honeywell Intl.,47.0,54.0,668.9,1963
AMAX,23.9,55.0,667.3,1963
National Intergroup,52.5,56.0,664.3,1963
Burlington Industries Equity,20.8,57.0,636.4,1963
Wilson,7.1,58.0,609.0,1963
BorgWarner,35.8,59.0,598.7,1963
Ogden,6.7,60.0,597.7,1963
Olin,44.8,61.0,596.7,1963
PPG Industries,55.4,62.0,596.6,1963
Asarco,39.8,63.0,592.9,1963
Fortune Brands,52.0,64.0,585.2,1963
Bendix,24.3,65.0,581.4,1963
NL Industries,63.2,66.0,576.3,1963
Conoco,51.8,67.0,576.3,1963
Curtiss-Wright,43.2,68.0,571.1,1963
Kennecott,143.2,69.0,567.0,1963
Dow Chemical,59.7,70.0,565.3,1963
Allis-Chalmers,20.4,71.0,547.4,1963
Atlantic Richfield,47.2,72.0,544.9,1963
ITT Industries,28.1,73.0,544.8,1963
Monsanto,38.6,74.0,541.9,1963
Tidewater Oil,38.0,75.0,522.6,1963
Nabisco Group Holdings,61.9,76.0,518.3,1963
General Mills,14.1,77.0,516.1,1963
American Cyanamid,55.4,78.0,500.7,1963
Owens-Illinois,35.3,79.0,496.0,1963
Pure Oil,36.6,80.0,486.2,1963
Standard Brands,12.1,81.0,473.2,1963
Crown Zellerbach,73.7,82.0,462.4,1963
Sealed Air,19.8,83.0,438.1,1963
Campbell Soup,29.2,84.0,429.8,1963
Phelps Dodge,87.0,85.0,418.8,1963
Nabisco Brands,20.3,86.0,410.5,1963
American Motors,-19.7,87.0,408.4,1963
Reynolds Metals,41.2,88.0,405.2,1963
American Standard,19.6,89.0,401.3,1963
Unocal,34.2,90.0,396.4,1963
Ralston Purina,14.3,91.0,393.7,1963
BP America,26.6,92.0,392.5,1963
GenCorp,10.9,93.0,390.5,1963
Foremost Dairies,10.2,94.0,384.0,1963
Crane,10.9,95.0,375.2,1963
Merritt-Chapman & Scott,16.8,96.0,374.0,1963
J.P. Stevens,10.4,97.0,372.6,1963
United Merchants & Mfrs.,13.8,98.0,368.6,1963
Whirlpool,13.8,99.0,368.2,1963
Pullman,12.7,100.0,364.4,1963
Singer,19.1,101.0,363.9,1963
Hygrade Food Products,2.4,102.0,362.0,1963
Martin Marietta,10.8,103.0,359.0,1963
Carnation,9.0,104.0,358.0,1963
Philco,0.4,105.0,347.9,1963
Republic Aviation,7.4,106.0,346.2,1963
Kaisertech,42.3,107.0,343.6,1963
CF&I Steel,16.7,108.0,341.6,1963
NCR,18.4,109.0,340.9,1963
Morrell (John),2.9,110.0,340.8,1963
Amstar,9.9,111.0,338.1,1963
Consolidation Coal,37.4,112.0,335.6,1963
Sylvania Electric Products,14.8,113.0,332.3,1963
Sunray DX Oil,45.3,114.0,332.2,1963
Pillsbury,4.4,115.0,331.0,1963
3M,38.7,116.0,330.8,1963
St. Regis,22.5,117.0,330.6,1963
Beatrice,6.4,118.0,325.0,1963
Weyerhaeuser,51.4,119.0,324.1,1963
Northrop Grumman,5.0,120.0,322.5,1963
Avco,-16.4,121.0,320.6,1963
Hormel Foods,5.1,122.0,319.3,1963
Deere,20.1,123.0,313.6,1963
Manville,25.0,124.0,310.4,1963
Liggett Group,26.5,125.0,308.5,1963
Otis Elevator,9.2,126.0,307.8,1963
TRW,13.0,127.0,306.5,1963
Koppers,12.1,128.0,305.6,1963
Bestfoods,23.5,129.0,304.2,1963
Studebaker,-103.3,130.0,303.0,1963
FMC,15.9,131.0,302.2,1963
Wyeth,31.2,132.0,295.5,1963
"Libby, McNeill & Libby",8.0,133.0,292.5,1963
Cudahy,6.1,134.0,291.1,1963
Colgate-Palmolive,10.5,135.0,291.0,1963
M. Lowenstein,5.7,136.0,290.6,1963
Honeywell,22.5,137.0,287.9,1963
Allegheny International,15.3,138.0,286.0,1963
Continental Baking,7.5,139.0,284.2,1963
National Supply,15.2,140.0,282.9,1963
Babcock & Wilcox,14.1,141.0,281.5,1963
Ashland,13.5,142.0,279.9,1963
Quaker Oats,11.6,143.0,277.2,1963
Container Corp. of America,18.2,144.0,276.0,1963
Marathon Oil,41.2,145.0,275.0,1963
Coca-Cola,29.2,146.0,273.3,1963
Unisys,14.2,147.0,271.8,1963
Scott Paper,22.4,148.0,270.3,1963
Furniture Brands Intl.,11.8,149.0,266.8,1963
Kaiser Industries,15.0,150.0,266.4,1963
Rath Packing,3.6,151.0,265.5,1963
USG,40.6,152.0,265.0,1963
Crucible Steel,12.8,153.0,263.9,1963
H.J. Heinz,10.6,154.0,262.4,1963
Aeroquip-Vickers,29.2,155.0,259.1,1963
Wheeling Pittsburgh,17.7,156.0,256.3,1963
Fruehauf,6.3,157.0,255.6,1963
Mack Trucks,12.1,158.0,254.2,1963
Richfield Oil,26.6,159.0,253.9,1963
Kimberly-Clark,21.6,160.0,253.3,1963
Skelly Oil,34.1,161.0,251.4,1963
Revere Copper & Brass,9.6,162.0,250.5,1963
Arden Farms,2.4,163.0,250.0,1963
Rockwell-Standard,11.9,164.0,249.5,1963
Del Monte Foods,11.4,165.0,249.3,1963
Armstrong Holdings,13.3,166.0,247.4,1963
Brink's,7.4,167.0,246.2,1963
Textron,6.5,168.0,245.8,1963
ACF Industries,8.0,169.0,245.6,1963
Johnson & Johnson,12.9,170.0,244.1,1963
American Viscose,14.9,171.0,239.4,1963
A.O. Smith,7.1,172.0,238.2,1963
Hercules,17.7,173.0,235.9,1963
Electric Autolite,2.3,174.0,231.6,1963
Dresser Industries,17.3,175.0,230.3,1963
Quantum Chemical,20.1,176.0,229.9,1963
Pet,29.0,177.0,229.4,1963
Dana,17.3,178.0,228.5,1963
J.E. Seagram,12.3,179.0,228.5,1963
Motorola,8.0,180.0,227.6,1963
Eaton,13.0,181.0,227.2,1963
Glidden,8.1,182.0,226.3,1963
Oscar Mayer,5.7,183.0,219.7,1963
Brown Shoe,8.5,184.0,219.1,1963
Bell Intercontinental,5.8,185.0,216.0,1963
Anheuser-Busch,9.8,186.0,214.7,1963
Westinghouse Air Brake,11.9,187.0,214.7,1963
Timken,21.8,188.0,214.5,1963
Hearst Consolidated Publications,1.2,189.0,211.2,1963
Archer Daniels Midland,5.9,190.0,210.9,1963
McGraw-Edison,14.0,191.0,210.6,1963
White Motor,7.2,192.0,207.4,1963
Cannon Mills,10.6,193.0,206.4,1963
Champion International,11.3,194.0,202.8,1963
American-Marietta,16.2,195.0,202.3,1963
Kellogg,15.1,196.0,201.7,1963
Kaiser Steel,23.6,197.0,201.5,1963
Gillette,31.5,198.0,200.7,1963
AMF,9.0,199.0,198.1,1963
Grumman,7.7,200.0,197.5,1963
Baldwin-Lima-Hamilton,3.7,201.0,195.3,1963
Genesco,5.9,202.0,195.2,1963
GATX,13.6,203.0,195.0,1963
Carrier,9.4,204.0,193.2,1963
Ingersoll-Rand,36.1,205.0,189.1,1963
Grinnell,8.8,206.0,189.0,1963
Celanese,16.9,207.0,188.3,1963
Westvaco,16.3,208.0,187.6,1963
GK Technologies,12.0,209.0,186.6,1963
Curtis Publishing,6.2,210.0,186.6,1963
McDonnell Douglas,6.8,211.0,186.2,1963
Abex,9.0,212.0,186.1,1963
Altria Group,12.8,213.0,182.5,1963
